seed,fold,method,patient_macro_f1,patient_balanced_accuracy,patient_macro_auroc,patient_macro_auprc
33,1,lesion_size_only,0.5088302378624959,0.5507575757575758,0.7204961804424169,0.59946936137582
33,1,svm_classical_proposed,0.8070707070707069,0.8238636363636364,0.9390337062380073,0.8605458066507766
33,2,global_only,0.31733281086729365,0.3178418803418803,0.5455706702026142,0.4293679839751399
33,2,local_only,0.17204301075268816,0.3333333333333333,0.6003451291148405,0.45107022941743696
33,2,fixed_4g_4l,0.28484848484848485,0.3222934472934473,0.4717240125659612,0.3503457670133984
33,2,random_allocation,0.28638262322472846,0.33903133903133903,0.41421469593703447,0.311766152865056
33,2,proposed_lsa_glqie,0.3096348096348096,0.34793447293447294,0.4486868288191654,0.33912332453858723
33,2,classical_proposed,0.8135353535353537,0.8167735042735043,0.9363756989918411,0.8730371663326553
33,2,fixed_2g_6l,0.28125960061443933,0.2784900284900285,0.4816536953429253,0.3702313331204679
33,2,fixed_6g_2l,0.1724137931034483,0.3125,0.4986388102677443,0.3774824834711126
33,2,shuffled_size_allocation,0.25456349206349205,0.3037749287749288,0.42933276839823326,0.33430242436349245
33,2,lesion_size_only,0.5777000777000777,0.6102207977207977,0.7501325654093435,0.6508027603926053
33,2,svm_classical_proposed,0.8506856610304886,0.8703703703703703,0.9674444148042264,0.9156595352529459
33,3,global_only,0.3335269207501512,0.33005590900327747,0.5258881185416273,0.3645724750360899
33,3,local_only,0.2749197400360191,0.35637169847696165,0.5526760439041141,0.4436950916336159
33,3,fixed_4g_4l,0.19386973180076628,0.33516483516483514,0.5915834693246974,0.5006936505407332
33,3,random_allocation,0.289426523297491,0.3609022556390977,0.5447288152880257,0.39935136406091326
33,3,proposed_lsa_glqie,0.16374269005847952,0.3333333333333333,0.5806124512264863,0.40959183964745854
33,3,classical_proposed,0.7355425601039635,0.73520339309813,0.9161354504008012,0.8396989513288459
33,3,fixed_2g_6l,0.16091954022988506,0.3333333333333333,0.533275701312982,0.4301226070815745
33,3,fixed_6g_2l,0.24345076784101174,0.2894736842105263,0.42755287272831133,0.3418368642061496
33,3,shuffled_size_allocation,0.26898326898326896,0.33709273182957394,0.5259887326773292,0.39913275904589224
33,3,lesion_size_only,0.5593761077632046,0.5747059957586274,0.7362664950384249,0.6462052448507066
33,3,svm_classical_proposed,0.8576576576576578,0.8579140158087526,0.9373497279199033,0.878064308578093
33,4,global_only,0.24444444444444446,0.2912280701754386,0.47072278641551085,0.37051039303609795
33,4,local_only,0.17708333333333334,0.2982456140350877,0.5247359301345369,0.3977533638717634
33,4,fixed_4g_4l,0.1693121693121693,0.2807017543859649,0.369009202871432,0.31524605822480445
33,4,random_allocation,0.18461538461538463,0.3157894736842105,0.429726867130118,0.31252253105952227
