method,metric,mean,std,ci95_low,ci95_high,n_folds
local_only,patient_class_1_f1,0.37058671100852364,0.18486832795027264,0.2770304288372217,0.4641429931798256,15
local_only,patient_class_1_support,16.4,3.5010202594590707,14.628239293809685,18.171760706190312,15
local_only,patient_class_2_precision,0.33732901558988515,0.19256237824019345,0.2326509143743617,0.4420071168054086,13
local_only,patient_class_2_recall,0.2568927125506073,0.2880433346638493,0.11112267290042663,0.40266275220078795,15
local_only,patient_class_2_f1,0.21576833327100478,0.16783623495294478,0.13083147940358453,0.30070518713842503,15
local_only,patient_class_2_support,17.8,4.693460496112802,15.424781273229769,20.175218726770233,15
local_only,patient_class_3_precision,0.15424570338798302,0.16401296490852554,0.06833045835324784,0.24016094842271818,14
local_only,patient_class_3_recall,0.26253561253561253,0.3284952924492129,0.09629405773240324,0.4287771673388218,15
local_only,patient_class_3_f1,0.1788616025945795,0.20300286229989534,0.07612797981837505,0.28159522537078396,15
local_only,patient_class_3_support,12.4,2.4142434484888695,11.1782242431608,13.6217757568392,15
local_only,small_slice_macro_f1,0.2827804832660355,0.05735798481298673,0.253753337992214,0.311807628539857,15
local_only,medium_slice_macro_f1,0.30210775853680605,0.0503462031665232,0.2766290643660667,0.3275864527075454,15
local_only,large_slice_macro_f1,0.25549919672640253,0.06811939006306358,0.22102602899271037,0.28997236446009467,15
fixed_4g_4l,slice_accuracy,0.3113747551963636,0.044892786203011646,0.288655870788026,0.3340936396047012,15
fixed_4g_4l,slice_balanced_accuracy,0.3449185523223919,0.0290905248426389,0.33019671553799,0.35964038910679375,15
fixed_4g_4l,slice_macro_precision,0.33927818752474476,0.034408098081885524,0.3218652873875584,0.35669108766193114,15
fixed_4g_4l,slice_macro_recall,0.3449185523223919,0.0290905248426389,0.33019671553799,0.35964038910679375,15
fixed_4g_4l,slice_macro_f1,0.2830084092681629,0.05228437423532618,0.2565488652059378,0.309467953330388,15
fixed_4g_4l,slice_weighted_f1,0.2794184505111933,0.07218473147489467,0.24288793616510437,0.31594896485728224,15
fixed_4g_4l,slice_mcc,0.013668206734149403,0.04163604885990087,-0.007402541180457113,0.03473895464875592,15
fixed_4g_4l,slice_macro_auroc,0.5022483841916004,0.026086519054055093,0.4890467840876351,0.5154499842955658,15
fixed_4g_4l,slice_macro_auprc,0.3431125097294893,0.023151100357743135,0.33139643644825234,0.3548285830107263,15
fixed_4g_4l,slice_class_1_sensitivity,0.38441981314574497,0.20492437034053015,0.2807137731337855,0.48812585315770446,15
fixed_4g_4l,slice_class_1_specificity,0.6222738778297288,0.18143500166855148,0.5304550984852239,0.7140926571742336,15
fixed_4g_4l,slice_class_2_sensitivity,0.30160084306552887,0.24333186361529988,0.17845792969539587,0.42474375643566187,15
fixed_4g_4l,slice_class_2_specificity,0.6972571628385011,0.25828553864120124,0.5665466457812861,0.8279676798957162,15
fixed_4g_4l,slice_class_3_sensitivity,0.3487350007559019,0.2297357390870102,0.23247267573158326,0.46499732578022057,15
fixed_4g_4l,slice_class_3_specificity,0.6914881046571577,0.20629937752766173,0.5870862150001392,0.7958899943141762,15
fixed_4g_4l,slice_class_1_precision,0.23000498554830923,0.07150608453828688,0.1938179139379227,0.26619205715869576,15
fixed_4g_4l,slice_class_1_recall,0.38441981314574497,0.20492437034053015,0.2807137731337855,0.48812585315770446,15
fixed_4g_4l,slice_class_1_f1,0.27109245185797676,0.09030093654316597,0.22539387280317114,0.3167910309127824,15
